job_id,method,organ,views,status,psnr_2d,ssim_2d,eval_path,output_dir,source,finished_at
CoRGS__head__9views,CoRGS,head,9,completed,34.81429672241211,0.9792584180831909,/root/experiments/results/CORGS/head_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/head_9views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__pancreas__3views,CoRGS,pancreas,3,completed,28.82400894165039,0.9282584190368652,/root/experiments/results/CORGS/pancreas_3views/eval/iter_020000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/pancreas_3views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__pancreas__6views,CoRGS,pancreas,6,completed,32.970123291015625,0.9546487927436829,/root/experiments/results/CORGS/pancreas_6views/eval/iter_010000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/pancreas_6views,bootstrap_csv,2026-03-24T00:32:26Z
CoRGS__pancreas__9views,CoRGS,pancreas,9,completed,35.257904052734375,0.9643734693527222,/root/experiments/results/CORGS/pancreas_9views/eval/iter_010000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/CoRGS/pancreas_9views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__abdomen__3views,DNGS,abdomen,3,completed,29.767406463623047,0.9370929002761841,/root/experiments/results/DNGS/abdomen_3views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/abdomen_3views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__abdomen__6views,DNGS,abdomen,6,completed,34.45109939575195,0.9742929339408875,/root/experiments/results/DNGS/abdomen_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/abdomen_6views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__abdomen__9views,DNGS,abdomen,9,completed,36.46172332763672,0.9809848666191101,/root/experiments/results/DNGS/abdomen_9views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/abdomen_9views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__chest__3views,DNGS,chest,3,completed,26.249826431274414,0.839040219783783,/root/experiments/results/DNGS/chest_3views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/chest_3views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__chest__6views,DNGS,chest,6,completed,33.58872985839844,0.9291951060295105,/root/experiments/results/DNGS/chest_6views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/chest_6views,bootstrap_csv,2026-03-24T00:32:26Z
DNGS__chest__9views,DNGS,chest,9,completed,36.72602462768555,0.9543103575706482,/root/experiments/results/DNGS/chest_9views/eval/iter_030000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/DNGS/chest_9views,bootstrap_csv,2026-03-24T00:32:26Z
